product_code,product_name,category,subcategory,brand,unit_price,cost_price,supplier,is_active
P00001,Sony Laptop 1,Electronics,Laptop,Sony,168.97,89.76,Supplier_6,True
P00002,Bose Laptop 2,Electronics,Laptop,Bose,1242.34,860.95,Supplier_2,True
P00003,LG Laptop 3,Electronics,Laptop,LG,293.76,183.0,Supplier_9,True
P00004,Sony Smartphone 1,Electronics,Smartphone,Sony,1908.41,975.89,Supplier_15,True
P00005,LG Smartphone 2,Electronics,Smartphone,LG,520.97,304.0,Supplier_2,True
P00006,Canon Smartphone 3,Electronics,Smartphone,Canon,1519.3,981.48,Supplier_2,True
P00007,Bose Smartphone 4,Electronics,Smartphone,Bose,492.85,209.94,Supplier_17,True
P00008,Sony Tablet 1,Electronics,Tablet,Sony,1312.23,631.88,Supplier_13,True
P00009,Canon Tablet 2,Electronics,Tablet,Canon,767.79,335.94,Supplier_18,True
P00010,LG Tablet 3,Electronics,Tablet,LG,990.27,584.12,Supplier_19,True
P00011,Apple Tablet 4,Electronics,Tablet,Apple,170.61,109.12,Supplier_7,True
P00012,Bose Headphones 1,Electronics,Headphones,Bose,1220.93,564.88,Supplier_5,True
P00013,Canon Headphones 2,Electronics,Headphones,Canon,897.23,417.33,Supplier_9,True
P00014,Sony Headphones 3,Electronics,Headphones,Sony,341.42,233.23,Supplier_13,True
P00015,Sony Headphones 4,Electronics,Headphones,Sony,1557.99,983.46,Supplier_8,True
P00016,Canon Headphones 5,Electronics,Headphones,Canon,322.64,205.19,Supplier_8,True
P00017,Sony Camera 1,Electronics,Camera,Sony,413.17,258.34,Supplier_7,True
P00018,Samsung Camera 2,Electronics,Camera,Samsung,118.92,76.46,Supplier_16,True
P00019,Apple Camera 3,Electronics,Camera,Apple,63.47,38.58,Supplier_10,True
P00020,Sony Camera 4,Electronics,Camera,Sony,1327.21,630.82,Supplier_2,True
P00021,LG Camera 5,Electronics,Camera,LG,1498.97,604.6,Supplier_7,True
P00022,LG Smartwatch 1,Electronics,Smartwatch,LG,1779.43,816.75,Supplier_4,True
P00023,LG Smartwatch 2,Electronics,Smartwatch,LG,1090.08,556.09,Supplier_3,True
P00024,Sony Smartwatch 3,Electronics,Smartwatch,Sony,752.09,410.69,Supplier_18,True
P00025,Dell Speaker 1,Electronics,Speaker,Dell,956.24,508.69,Supplier_19,True
P00026,HP Speaker 2,Electronics,Speaker,HP,1517.85,920.01,Supplier_4,True
P00027,Bose Monitor 1,Electronics,Monitor,Bose,1164.17,600.35,Supplier_1,True
P00028,Bose Monitor 2,Electronics,Monitor,Bose,626.8,409.45,Supplier_12,True
P00029,Dell Monitor 3,Electronics,Monitor,Dell,639.78,415.6,Supplier_5,True
P00030,Samsung Monitor 4,Electronics,Monitor,Samsung,766.92,459.93,Supplier_18,True
P00031,LG Monitor 5,Electronics,Monitor,LG,953.96,572.96,Supplier_14,True
P00032,Nike T-Shirt 1,Clothing,T-Shirt,Nike,74.79,45.92,Supplier_15,True
P00033,H&M T-Shirt 2,Clothing,T-Shirt,H&M,134.82,94.0,Supplier_20,True
P00034,Uniqlo T-Shirt 3,Clothing,T-Shirt,Uniqlo,111.64,56.8,Supplier_7,True
P00035,Levi's T-Shirt 4,Clothing,T-Shirt,Levi's,149.28,65.66,Supplier_18,True
P00036,Nike Jeans 1,Clothing,Jeans,Nike,55.88,30.01,Supplier_20,True
P00037,Puma Jeans 2,Clothing,Jeans,Puma,184.04,110.99,Supplier_17,True
P00038,H&M Jeans 3,Clothing,Jeans,H&M,140.38,59.53,Supplier_12,True
P00039,H&M Dress 1,Clothing,Dress,H&M,45.52,26.32,Supplier_12,True
P00040,Uniqlo Dress 2,Clothing,Dress,Uniqlo,193.33,123.61,Supplier_3,True
P00041,Zara Jacket 1,Clothing,Jacket,Zara,76.35,39.61,Supplier_14,True
P00042,Uniqlo Jacket 2,Clothing,Jacket,Uniqlo,133.01,83.83,Supplier_13,True
