transaction_id,customer_code,product_code,transaction_date,transaction_timestamp,quantity,unit_price,discount_amount,tax_amount,total_amount,payment_method,store_code
TXN00004794,C04974,P00030,2023-01-03,2023-01-03 00:00:00,3,766.92,345.11,156.45,2112.1,PayPal,STORE004
TXN00013597,C00472,P00082,2023-01-05,2023-01-05 00:00:00,2,145.39,0.0,23.26,314.04,Credit Card,STORE006
TXN00040286,C00613,P00001,2023-01-06,2023-01-06 00:00:00,2,168.97,33.79,24.33,328.48,Credit Card,STORE006
TXN00030922,C02892,P00073,2023-01-06,2023-01-06 00:00:00,2,481.84,0.0,77.09,1040.77,Credit Card,STORE009
TXN00034375,C01434,P00133,2023-01-08,2023-01-08 00:00:00,2,44.37,13.31,6.03,81.46,Debit Card,STORE006
TXN00027877,C02078,P00128,2023-01-09,2023-01-09 00:00:00,2,40.5,0.0,6.48,87.48,Cash,STORE007
TXN00002481,C02437,P00056,2023-01-10,2023-01-10 00:00:00,2,137.5,0.0,22.0,297.0,Debit Card,STORE004
TXN00028325,C04405,P00107,2023-01-12,2023-01-12 00:00:00,2,165.22,0.0,26.44,356.88,Cash,STORE006
TXN00041597,C02647,P00106,2023-01-13,2023-01-13 00:00:00,1,114.85,17.23,7.81,105.43,PayPal,STORE008
TXN00011294,C00106,P00021,2023-01-14,2023-01-14 00:00:00,1,1498.97,299.79,95.93,1295.11,Debit Card,STORE008
TXN00034537,C04980,P00107,2023-01-15,2023-01-15 00:00:00,4,165.22,132.18,42.3,571.0,PayPal,STORE007
TXN00007977,C04724,P00018,2023-01-17,2023-01-17 00:00:00,2,118.92,0.0,19.03,256.87,Credit Card,STORE001
TXN00033121,C01357,P00046,2023-01-17,2023-01-17 00:00:00,2,179.76,71.9,23.01,310.63,PayPal,STORE006
TXN00006755,C01937,P00104,2023-01-18,2023-01-18 00:00:00,1,48.12,4.81,3.46,46.77,Apple Pay,STORE010
TXN00030357,C01848,P00021,2023-01-18,2023-01-18 00:00:00,3,1498.97,0.0,359.75,4856.66,Credit Card,STORE009
TXN00014397,C00367,P00109,2023-01-18,2023-01-18 00:00:00,2,289.67,86.9,39.4,531.84,Cash,STORE002
TXN00013848,C00507,P00103,2023-01-19,2023-01-19 00:00:00,2,172.27,17.23,26.18,353.49,Cash,STORE003
TXN00013700,C01713,P00110,2023-01-19,2023-01-19 00:00:00,5,35.34,0.0,14.14,190.84,Debit Card,STORE007
TXN00026697,C04405,P00128,2023-01-22,2023-01-22 00:00:00,1,40.5,0.0,3.24,43.74,Debit Card,STORE008
TXN00024576,C04312,P00110,2023-01-22,2023-01-22 00:00:00,1,35.34,0.0,2.83,38.17,PayPal,STORE004
TXN00033682,C00119,P00027,2023-01-22,2023-01-22 00:00:00,1,1164.17,0.0,93.13,1257.3,Debit Card,STORE007
TXN00007581,C04944,P00110,2023-01-22,2023-01-22 00:00:00,1,35.34,0.0,2.83,38.17,Cash,STORE002
TXN00002250,C02769,P00103,2023-01-22,2023-01-22 00:00:00,4,172.27,0.0,55.13,744.21,Credit Card,STORE002
TXN00016231,C00166,P00099,2023-01-22,2023-01-22 00:00:00,5,174.35,87.18,62.77,847.34,Debit Card,STORE008
TXN00031418,C02210,P00064,2023-01-23,2023-01-23 00:00:00,2,237.91,0.0,38.07,513.89,Cash,STORE007
TXN00013408,C04405,P00119,2023-01-24,2023-01-24 00:00:00,2,27.07,0.0,4.33,58.47,Debit Card,STORE008
TXN00014809,C02647,P00090,2023-01-24,2023-01-24 00:00:00,2,197.16,78.86,25.24,340.7,Cash,STORE002
TXN00012783,C02383,P00003,2023-01-25,2023-01-25 00:00:00,2,293.76,0.0,47.0,634.52,Credit Card,STORE008
TXN00008664,C04487,P00125,2023-01-26,2023-01-26 00:00:00,1,47.1,7.06,3.2,43.24,Cash,STORE008
TXN00012591,C04551,P00052,2023-01-26,2023-01-26 00:00:00,1,52.2,0.0,4.18,56.38,Apple Pay,STORE006
TXN00015269,C04876,P00088,2023-01-27,2023-01-27 00:00:00,1,148.03,0.0,11.84,159.87,Cash,STORE004
TXN00044076,C04888,P00009,2023-01-27,2023-01-27 00:00:00,1,767.79,115.17,52.21,704.83,PayPal,STORE010
TXN00046217,C01150,P00118,2023-01-27,2023-01-27 00:00:00,2,45.82,4.58,6.96,94.02,PayPal,STORE007
TXN00032409,C00183,P00091,2023-01-28,2023-01-28 00:00:00,1,21.43,4.29,1.37,18.51,PayPal,STORE009
TXN00003785,C00580,P00131,2023-01-28,2023-01-28 00:00:00,2,9.96,1.0,1.51,20.43,Credit Card,STORE009
TXN00009343,C02437,P00089,2023-01-28,2023-01-28 00:00:00,2,498.47,0.0,79.76,1076.7,PayPal,STORE005
